navn,tlf
NIBE TØMMERHANDEL M STAUN A/S,98351700
P.J. SKOVVÆRKTØJ NØRRESUNDBY APS - LAGER,98172733
SILVAN ÅLBORG,98124411
VVS-EKSPERTEN A/S AALBORG,75890303
XL BYG MOU BYGGECENTER APS,98311900
2FF APS,31370550
9K GAMING / AALBORG BRÆTSPILSCAFÉ,20218819
AALBORG KASERNES ANSATTES FORENING,98197013
ANETTES SANDWICH,41105010
BACO BUDOLFI PLADS,27852062
BACO COFFEE I/S,27852062
BACO STJERNEPLADSEN,27852062
BAR MALLORCA I/S V/LARS MØLLER OG LINDA TOBABEN,98132200
BARESSO COFFEE,33939828
BEHAG DIN SMAG APS,28482744
BISPENSGADE 16,98126222
BJELDBAK HOLDING A/S,20260538
BLOKHUS SPORT & FRITID A/S,70231700
BOMBAY BARFLY,98126222
BORGERGADE 2,24631805
BOULEVARD CAFEEN,98114426
BOXTOWN  F.M.B.A - BODEGA,41280180
C.M.C. IVS,20209944
CAFE ALPHA V/FLEMMING LORENTZEN,98121428
CAFÉ DELUXE,98192246
CAFE FREDERIKSBERG V/MARIANNE HOLM,98120383
CAFÉ IB RENÉ,40278402
CAFE LUNA AALBORG APS,98132275
CAFE POLLYS,26293830
CAFÉ VI.2 APS,40975726
CARLS JR.BOULEVARDEN,87785000
CLUB WOLF AALBORG,40584512
COFFEE TEN APS MAGASIN 2 SAL ÅLBORG,40137315
DANSK BRODERORDEN/ UDLEJNINGSEJENDOMMEN,20877081
DEN RØDE LYGTE V/ JACEK NOWAKOWSKI,98790329
DH HANDEL OG INVESTERING APS,40513315
DUUS VINKÆLDER V/PETER KRAGH,98125056
EGENSE CAFE OG CATERING I/S,23416236
EGHOLM CAFE,29840742
ESPRESSO HOUSE - AALBORG STORCENTER,33939828
ESPRESSO HOUSE - FRIIS SHOPPINGCENTER,33939828
ESPRESSO HOUSE - KENNEDY ARKADEN,33939828
ESPRESSO HOUSE BISPENSGADE,26222476
FADBAMSEN I/S,41498537
FANTAZIA,71539485
FÆRØ-KROEN V/KIRSTEN JØRGENSEN,98121452
FÆRØKROEN,28931408
FORENINGEN CAFE KAFE,31410474
GADENS GARDEROBE APS,98126222
GALERIE PROVENCE,98272866
GASLIGHT A/S,98111420
GIRAFFEN,98126222
HEIDIS,26774981
HOS BOLDT V/HANS BOLDT,98161777
HOTDOGGERIET,60128002
IS A BELLA ALBORG,28447005
JÆGERSTUEN,28931408
JOE & THE JUICE - AALBORG ALGADE,40470407
JYDEPOTTEN,28931408
JYDEPOTTEN APS,98142587
KAFFE FAIR APS HAMMER BAKKER,99301000
KAFFE FAIR APS ØST,99301000
KAFFEBAREN BREDEGADE APS,40827362
KAFFÉFAIR STRANDVEJEN,99301000
KARMA AALBORG STORCENTER APS,98110111
KOCHS KAFFEBAR APS,24849876
KONRAD BAR,28255306
KONTIKI BAR V/JYTTE WEINREICH,99130303
KRIDTHUSET PI DUNG,98171988
KROEN I CENTRUM,98175328
KROEN I CENTRUM/QUEENS PUB/JÆGERSTUEN/JYDEPOTTEN,28931408
KULTURCENTERET FJORDBYEN,98169735
LARS FOGHT HANSEN,98251345
LEOS LEGELAND AALBORG,98121294
MALERFIRMAET JANNI PRIIS V/JANNI E PRIIS,22121307
MATPAD,61699776
MAY DK APS,24854499
MEELSEN EVENT,30962985
MICHAEL NIELSEN HANDEL & SERVICE APS,98192643
MP-STUEN,72836000
MUNKEN V/NICOLAJ RASMUSSEN,25701176
MUSIKKÆLDEREN,98126222
NITROKAFFE I/S,29927004
NOAHS KAFFE,20863356
OLD GAMES PUB,40340246
OLD IRISH PUB AALBORG,21763418
ØSTERPORT BODEGA V/ F. MARTINUSSEN,98135305
PANDEKAGEHUSET AALBORG,28151292
PANDEKAGEHUSET AALBORG APS,28151292
PARADISE GIRLS,21763418
PAROLEFORENINGEN AF 1965,72839000
PETITE FRANCE,20999425
PIGEN OG TROMPETEN APS,98169899
PINGVIN APS,98111166
PUSTERRUMMET JOMFRU ANE GADE 12 ST TV,98126222
PUSTERUMMER JOMFRU ANE GADE 12 01,98126222
PUSTERUMMET 12 02,98126222
RÅDHUSKROEN V/RØDE,98351125
RESTAURANT GØGLERBÅDEN/ VGH NR 304 APS,98126162
RESTAURATIONSSELSKABET WULFF APS,98116734
REXCORP APS,91983882
ROCKEN APS,29905986
SALTLAGERET APS,98126222
SILDEPALÆET,98126222
SMEDEKROEN ANNO 2020 APS,98342300
SPACE AALBORG APS,51896373
TAPPERIET,98130788
TAXA VOGNMAND RUBEN MØLLER,98175654
THE GAP AALBORG,21763417
TORBEN JENSEN HANDELSFIRMA,98126222
UDLEJER PETER HYLLESTED,98163695
URET JOMFRU ANE GADE 10,98126222
VEGGER KRO,24968034
VEJGAARD KROEN V/BETINA DRASTRUP NIELSEN,98113477
W BAR I/S,31545628
ZG 2016 APS,40959326
BBBB I AALBORG - HOSTEL - VANDRERHJEM - CAMPING - HYTTEØ,98116044
ELITE CAMP DOKKEDAL V/ JOACHIM RISE JØRGENSEN,24272137
FMS APS,70208302
FRYDENSTRAND CAMPING,21448011
HALS STRAND CAMPING I/S V/ ANETTE DAHL OG POUL BORUP/GRILLEN,51243507
HIMMERLANDS FISKEPARK + CAMPING V/MUSA KRASNIQI,98686257
NIBE CAMPING,98351062
KLARUP CARAVAN A/S,98318888
2BEBETTER,72690711
360 JACOBSEN,24247518
375CONSULT,28102864
3ELEMENT MEDIA,20852203
A-L KONSULT V/ LARS OTTESEN,98111950
A. STRAND V/ANETE MIKKALA CAMILLE STRAND,51719587
AALBORG PRODUKTIONSSKOLE,96316363
AALBORG SPORTSHØJSKOLE,98131311
AALBORG TANDPLEJETEAM APS,98117616
AALBORG VÆGTTABSCOACH,22621666
AC HOLM,21386661
AFTENSKOLEN STUDIEVEJ 5,98154124
AK CARE AALBORG V/ANETTE KORSGAARD,98189952
ANDERSEN CONSULT & COACHING,53540075
ANNE FREUNDLICH PROFESSIONEL ALKALÆRUNDERVISER,22527556
ANNE SØNDERGAARD,30700195
ANNEGADE.DK V/ANNE NØRKJÆR GADE,72691611
ANNETTE LUNDORF STØVRING,86177586
ANNETTE THOR,40507139
AOF JAMMERBUGT,72132300
AOF MARIAGERFJORD,72132300
AOF MORSØ,96690240
AOF NORD DAGHØJSKOLEN AALBORG OG NØRRESUNDBY,72132300
AOF NORDJYLLAND,72132300
AOF THISTED,72132300
AP CONSULTING - ASIAN FOOD ADVISOR,91873232
ARENHOLT - MENTORING BESTYRELSESARBEJDE OG FORRETNINGSUDVIKLING,20105225
AS MAGIC,52524517
BEDIAKO HOLDING APS,29469922
BERGMAN SMIT TRAINING V/MERETE VITTRUP SMIT,96377880
BETTERBUSINESS.DK V/HENRIK TONSBERG LØKKE,50818000
BETTERSELF,22102900
BETTINA GADEBERG,27634090
BHJ MENTOR,98189960
BIIIRGITTE V/BIRGITTE MARIE JENSEN,20408622
BIRGITTE BACH MØRK,22462636
BJØRENG FØRSTEHJÆLP OG MASSAGE,27583494
BJØRK & DAHL BOGHOLDERI OG ADMINISTRATION,98333025
BRØNDUM & NIELSEN PSYKKURSER I/S,22440004
BUSINESS-NETWORK.DK,40587056
BY MAJLAND,42312493
BYBJERRE APS,20888060
BYRRESEN CONSULT,20710667
CADSKOLEN A/S,70272233
CAMPBELL.DK,28405688
CEESAY DEVELOPMENT,41414183
CFK V/CHRISTIAN HVIDBERG,20888686
CFL ANALYSE S.M.B.A,30285971
CHARLOTTE MOUSING LIFE COACH - BUSINESS COACH,26810585
CHARLOTTE PAPE,51949955
CHRISTENSENJENSEN.DK,60160419
CMB,30321720
COACH VISION V/LAILA CHRISTENSEN,41617474
COACH ALLIS OLSEN,98326088
COACHING-U,42214009
COACHMELGAARD,23498835
CODEMENTOR V/MARTIN BAKKEGAARD OLESEN,21730117
COMMUNICATION AND LANGUAGE,24471769
COMPASSET.DK,41327672
COSMOSLIVING,42333370
CP-MANGAARD,23683187
CROSSING CONSULT,20137055
DSVEISTRUP,93700716
DAMSØ & DAMSØ SPROGSKOLER AALBORG APS,98160499
DANISH DIVERS A/S,70254100
DE DANSKE SUPERHELTE,22330033
DEN GLADE KOK,25111555
DEN RYTMISKE I NORDKRAFT,98167077
DIT LIV - DINE HÆNDER,26846164
DKPOL APS,50530503
DOF AALBORG AFTENSKOLE,53834068
DONSCEPT V/LENE BILLINGSØ DONS BOLDT,21178717
DRZ,42772722
EDUKAT AALBORG,50582822
EDUKAT VÅRVEJ,50582822
EDUTASIA APS,70227226
ELITE SPROG,22601304
ELSE O V/ELSE OLESEN,40440237
ELYSIUM BY AM I/S,42474546
EN NY VEJ,98384179
ENESTÅENDE,30136260
ENGLESKOLEN DANMARK I/S,50993222
EROGENETIC,27283371
ESSENS-COACHING V/SUNNIVA HØGSBERG,98380858
ETISK DISCIPLIN,60188133
EVB,71700934
EVOLVING MINDS,24600654
FASA INVEST APS,41383421
FIND DIN POWER,53767090
FIND FRED MED MAD V/CHRISTINE,28154362
FIRST AID SOLUTIONS,31313583
FLOWFACTORY,50426094
FLOWRELEASE V/HANNE KELLER,98139393
FOKUS AGRO,99301000
FOKUS FOLKEOPLYSNING,99301000
FOKUS FOLKEOPLYSNING - DAGHØJSKOLEN K&V M.FL,99301000
FOKUS FOLKEOPLYSNING-DAGHØJSKOLEN,99301000
FOLKEUNIVERSITETET I AALBORG,96303763
FOLMAND-PROJEKTCOACHING OG KOMMUNIKATION,40930139
FORENINGEN AF DANSKE KIRKEGÅRDSLEDERE KLUBKONTINGENT,60535900
FØRSTEHJÆLP NORD,28733380
FØRSTEHJÆLP TIL ALLE,50818174
FØRSTEHJÆLPSTEAMET,61691861
FØRSTEHJÆLPSTEAMET I/S,61691861
FRIRUM - IDENTITET OG RELATIONER,41930283
FRIVILLIGNET AALBORG,33735000
FRYD,31229302
FUNKES,30242297
GAARSTED,61655450
GAVER FRA JORDEN,31419733
GLADHJERNE.DK / KINDNECTION.COM,40101040
GOK AALBORG,98178436
GRADEMENTOR,30700547
GUDUMHOLM HUSFLIDSSKOLE,98316600
HAANDBRYGGERIET,98123456
HANNEBRUSGAARD,20140062
HASP VIRKSOMHEDSKOMMUNIKATION,50522394
HASTRUP KONSULENTERNE,22285806
HEALING HEART: SPIRITUALIST MASTERVIBES,30200147
HEALTH & CARE BY IZADORA,51890898
HEDEGAARD NEWLIFE,23848020
HEIDI GREGERSEN,23969812
HELLE SCHIMMELL,30132235
HENRIETTE SØVIND,31140568
HESTEKRAFT,29935214
HJERTEMOR.DK,26289994
HK/NORDJYLLAND,70114545
HUSEEVENT,25327899
HUSET FOR LIVSKVALITET V/NORA-MARIE ØRBÆK,20727353
HYPNOSE OG NLP V/ KRISTIAN STYRISHAVE,30272552
INSTANT CHANGE,28100831
INTEGRO AALBORG,70205125
ITLEG.DK,50448534
IVECONSULTANT APS,60188133
JAKOB ANTONSSON,26336661
JB CONSULT V/JESS BLOCH BECH,98296416
JP MENTOR NORD,50393429
JUST DANCE BODY MOVEMENT,30495443
KAPINO,40968958
KK KURSER V/ KENT KROGH KRISTENSEN,98255604
KLINIK SPROG OG APD V/DORTE BISGAARD,29406582
KLINIK SUNDVALL,41777764
KLUB ONSIDE,98138066
KOMPONENT - AALBORG,87796300
KOVIDA - LIV OG TRIVSEL V/JESPER STENBAKKEN,55384537
KOVIDA IVS,53384537
KRISTENSEN & CO. K/S,98137077
KRISTENSENS KØRESKOLE V/JESPER STEFFEN KRISTENSEN,40842367
KURSUSHUSET,72132308
KYSTLIVREDDERNE.DK V/CARSTEN JØRGENSEN,21930596
KYVSGAARD CONSULT V/POUL H. K. HANSEN,98128474
LA COACHING,24529957
LÆSEGUIDEN,42665200
LEDELSE & VÆKST,98146033
LILLE SKOLE FOR VOKSNE,98138066
LILLE SKOLE FOR VOKSNE I JAMMERBUGT,98138066
LILLE VILDMOSE PRODUKTIONSSKOLE,98332042
LINE THOFT CARLSEN CENSOR  SUPERVISION OG KONSULENTBISTAND,28766084
LINK&LÆRING,23711141
LIS MØLLER,98166628
LISE GREVENKOP-CASTENSKIOLD,22234302
LIVMODERVISDOM,27592884
LIVSSTILSMAKKER,22380029
LOF NORD,59183350
LOUISE BJERRE - PERSONLIG UDVIKLING,20724810
LÜBCKE COACHING V/KENNETH LÜBCKE,60378887
LV MEDIATION OG KONFLIKTMÆGLING,42431878
LYST TIL LIVET,24241383
MALLY´S RAW,35139576
MANDRUP. CO,29260069
MARGRETHE SMEDEGAARD,61354736
MARIANNE LANE,30481456
MARIETTA ROSENVINGE,30844964
MARK HOLLER,27391483
MATEMATIKHJÆLPEN,26759304
MB-FØRSTEHJÆLP,61661084
MED VILJE APS,96377774
MEDIEBROEN.DK,40566499
MEDKANT,93976200
MEDLYD,30220419
MEGO,22158646
MEGO-COACHING,22158646
MELUKKAS HJERTERUM,53833652
MERSHOLM DEC V/MOGENS MERSHOLM,98323503
METTE RANDORFF APS,26289389
MGR. ZUZANA HADASOVA - LEKTOR I NORSK OG DANSK,53333450
MIA KUCH COACHING,23660773
MIDTWEB,61667161
MIN VIRKSOMHED V/MARTIN G. LINDVED,71167906
MIND MOVES,20712818
MINDFULNESS MINDS,42540500
MINDSTEP CARE APS,40333368
MINDWIZE IVS,22541100
MINIMUSIK V/HANNE JULIE MØLLER,22306604
MISK CONSULT,31599002
MOMME-CONSULTING,91335099
MOOS V/ TORBEN MOOS,26600378
MOU HOTEL,98311799
MTFITNESS,29636535
NEDERGAARDFITNESS,22266498
NIELS RIIS,96730510
NISSUMS KØRESKOLE OG SN CARE,51421710
NLP AALBORG,98101677
NLP-AKADEMIET IVS,26289389
NORDJYLLANDS HUNDESKOLE,40626830
NORDJYSK SPECIALRÅDGIVNING,42799882
NOVAMIND ADMINISTRATION,25100110
NR. UTTRUP HUSFLIDSFORENING,20744915
NTI A/S,70101400
OLE HJORT JENSEN APS,98149224
OLE KAMP DK,30701655
OMNICOACH,28186334
OPCOACHING AND CONSULTANCY,28682586
PEACEMANAGEMENT,60188133
PHARUS V/TOMMY JOHANNESEN,31313183
PHD-MENTOR.DK,49404113
PICTUREPILOT.DK,20996598
PLJ. LIVREDDENDE KOMPETEANCER V/PALLE LEIF JØRGENSEN,61101253
PODOVO,42364090
PPA-INTERNATIONAL MEDICAL V/NIKOLAI KOLSTRUP KRABBE ANDERSEN,47771736
PRISTEDS BOBLER V/HENRIETTE PRISTED,22640626
PROFESSIONEL ALKALÆRUNDERVISER,22527556
PSYKOLOG PETRA PATZWALDT,27623228
PSYKOLOGDK V/ ROLAND M. LOZON,20161412
PSYKOTERAPI,98294635
PULJEORDNINGEN SOLSIKKEN,22794380
PURE LIFE V/HEIDI ZINK,22358811
QIGONG I CENTRUM,61665329
REACH THE HORIZON,30232776
RENOMMEET PRODUKTION,22248233
SAMARITAN GROUP IVS,22853010
SANDI SJØRUP -SUND SEKSUALITET,20633639
SAVELIFES,23710929
SAVING LIVES,50729977
SH COACHING OG VEJLEDNING,22334313
SIGNE VALENTIN OHLSEN,20654965
SIMON CONSULTING,22402334
SIMPLE COACHING,60222868
SIMPLE-BEING V/LISA KAJUS NÆBLERØD,20650246
SIND DAGHØJSKOLE,98138066
SINDSLIDENDES FOKUS,42720008
SINO-DANISH CULTURE EXCHANGE APS,52753301
SJÆLE LYSET,53543922
SKAB DIG,61659249
SKOLEN FRI,30526393
SMOON  APS,40751069
SNIK SNAK V/HENRIK NIELSEN,93520466
SOLVEIGS SANG,31662363
SOULFORUM,20961299
SØREN DINITZEN,26365445
SPECIAL MINDS APS AALBORG,86125660
SPORTSKARATE.COM,26809004
SPROGSKOLEN KRISTENSEN V/BIRGIT KETH KRISTENSEN,98137077
SRM SPEECH AND LANGUAGE THERAPY,20746488
SSB CONSULTING,41291806
STRADIVARIUS,60506210
STRESS OG TRIVSELSKONSULENT LISBETH BAST,61437115
STUDIETUR DANMARK,40863622
STUDY HOUSE / FEGU AALBORG,41675793
STYLIST IDA BENEDICTE,60547219
SUCCESHJØRNET,28722093
SUND&FIT&SERVICE,20430932
SUNDHEDSKOORDINATOR IVS,22125254
SUNDHEDSPEDELLEN,26645806
SUNDVALL,41777764
SUPERVISION OG UNDERVISNING V/FLEMMING LINDEQUIST MADSEN,98120802
SVANFOLK KURSER,98326242
TÆNKETANK HUGIN,22318488
TEACHING BY PIA JENSEN IVS,40816141
TEMPUS,61336370
TEOLOGISK VOKSENUNDERVISNING I AALBORG STIFT,96341935
THAI FERIEHUSE,20810788
THE RIGHT ENERGY,27449979
TINA KØBSTED,81737409
TOOLSFORSCHOOLS V/JUNE KROMANN,40939008
TOUGH TRAILS,60190192
TRICIA JUUL MØLLER,22325019
TRINE RASMUSSEN,22341987
UDFORDREREN,98318785
UGLI FRUIT MEDIA,71904292
UKM UDVIKLENDE KREATIV MAGI,98750327
UNDERVISER V/JAN STAGE,98165439
UNDERVISNING V/ULRIK KRYGER,22217171
V/NICKIE KATE HERMANSEN,35141935
VIBRATIONS FOR SOUL GROWTH IVS,61668101
VIC2RIOUS,25563744
VIRA APS,28724480
VITAVÆRKET,26170787
VIVA VINO,40857786
WEBERSKOV BODY&MIND V/ BENTE WEBERSKOV,98176154
WIISHAPE.DK APS,71907171
WILLFORCE I/S,51162809
YOUDECIDE,27207306
YOURTIME,60642466
AALBORG TECH SERVICE,30264575
B-WARE V/HENRIK BENNER SVENDSEN,98322017
BILLIGLEG LARS JAKOBSEN,55986062
COMEA,96350501
CONTABILIA ADMINISTRATION APS,29887100
DANFORM DATA TEKNIK V/JAN PEDERSEN,98326555
DATA DISCOUNT BY LABTECH DATA A/S,70101000
DUSTGAMING,49401947
EB GAMES,98157520
EDNORD/ERHVERVSFINANS-NORD V/KIM STAVAD,96333500
ELECTRONICS WORLD,25767343
ELGIGANTEN AALBORG,70807070
ELGIGANTEN NYTORV,70807070
HOLM PROJECTS,23476370
HUMAC A/S,70215353
HUMAC A/S AALBORG STORCENTER,30787762
IHJORTEN IVS,40520810
IT-SALG & SERVICE V/RENÉ KNUDSEN,98384230
JK-DATA V/JESPER SØRENSEN,98122736
JOP BYG,42608090
KTA DATA / KTA LYS & LYD,98191819
LABTECH DATA A/S AALBORG,98109440
LABTECH DATA A/S ERHVERV,70229440
LABTECH DATA A/S SKALBORG,31129440
LABTECH DATA A/S VEJGAARD,98139440
LALEG.DK,60196444
MINGAMERPC,22821535
MLC SERVICE,26335360
NET-LAND IT OG MULTIMEDIE,40873626
OMEGA PC BUILDS,22358219
PC ENTUSIAST,27351446
PC-REVIVE V/FREDERIK HOLST,53610699
PLAI IVS,22195796
POULSENS DK V/TORBEN POULSEN,98424734
POWER AALBORG,70338080
PREVISTO APS,78742930
SHAPING GAMING,30634879
SKOVGAARD DEV,20755428
SUNSHINE SERVICE APS,98159858
UNIFIED COMPUTER INDUSTRIES APS,96350501
VUH.DK,42460017
BIKEKEY APS,31434017
CYKELMANDEN,50440783
DEN GRØNNE CYKELSMED I AALBORG,26790183
DIN-ELSCOOTER.DK V/ JOHN MORRIS NIELSEN,53201212
FRI BIKESHOP AALBORG APS,98116500
FRI BIKESHOP HOBROVEJ,98116500
FRI BIKESHOP NØRRESUND,98173753
HALS AUTOCYKLER V/JOHN ANDERSEN,98251821
LINDEBJERG A/S AALBORG,63150000
LYNGBY I/S V/RASMUS LYNGBY JENSEN OG JAN LYNGBY SØRENSEN,98123851
MUGGES CYKLER APS,51212595
MUNKS EFTF. I/S,98121946
NILUS APS,98132536
PEDAL PUSHERS IVS,52111907
POLARCYKLER V/KELD FUGLSANG NIELSEN,98146622
RACERCYKLEN APS,98125812
SMARTCYKLER APS - AALBORG,89888234
SOCIALKONSULENTEN V/ KAARE JOHANSE,98194467
SØREN CYKELSMED,20716026
SULSTED CYKEL & MASKINVÆRKSTED,98262528
VEJGAARD CYKLER,98139966
VELOGEAR IVS,26129824
VODSKOV CYKLER,98294477
DAG-LEGEHUSET,51764112
DAGPLEJEN I AALBORG KOMMUNE,99823100
DAGPLEJEN TROLDEPUS V/HELLE ASFERG SNERLE ANDERSEN,22800237
DEN PRIVATE PASNINGSORDNING BAMSEHUSET I/S,28733454
NIBE PRIVAT DAGPLEJE V/ELLA MARTINEZ,20273509
PPO CROL DEL SOL,28185354
PRÆSTEGÅRDSMARKS BONDEGÅRDS BØRNEPASNING,98261398
PRIVAT BØRNEPASNING I HASSERIS ENGE,50736830
PRIVAT PASNING - HELLE & CLAUS,22749282
PRIVAT PASNINGSORDNINGEN STAMPE,28434875
SKOVTROLDEN PRIVATPASNINGSORDNING,26392239
AAV DÆK AALBORG A/S,98156000
DÆKEXPRESSEN V/ BENTE P BLOCH,21163762
JDR DÆKSERVICE,60197719
JL HJULCENTER I/S,20333988
S ERIKSEN AALBORG A/S,98156622
SUPER DÆK SERVICE - AALBORG,76150000
SUPER DÆK SERVICE - AALBORG SYD,76150000
AUT. KLINISK DIÆTIST,30285143
IZ-KOSTVEJLEDNING,30246872
KLINISK DIÆTIST LISETTE WINTHER,27278080
KOSTVEJLEDER OG SUNDHEDSCOACH TINA POULSEN V/ TINA POULSEN,23670473
KOSTVEJLEDNING V/MALIN BISANDER,51257202
4GLADEPOTER APS,23295379
AABYBRO HOBBYFODER V/KURT NIELSEN,98244558
AH-HUNDETRÆNING/AALBORG BARF BUTIK V/ANNETTE HOLDORF KOLBECK,31617348
AKVARIEFISK-HULEN  V/JAN LIND NIELSEN,42227081
ALU MODUL BYG,40410373
CARSTENS DYREHANDEL V/KIM MARTIN JOHANSEN,98167055
DYREHANDLER B L THOMSEN,82383892
HUNDEVEJ,28294141
KNL VOLIEREN,53257375
MBUNAS IVS,60179409
ORGANIC DOGS,22411574
PLANTORAMA A/S,86448688
STYR PÅ DYR APS,97320320
SUPERDUER.DK,50445495
AALBORG DYREHOSPITAL A/S,98181911
ANICURA DYREHOSPITAL NØRRESUNDBY APS,98117400
ANICURA DYREHOSPITALET CITY SYD APS,98117400
ANICURA DYREKLINIKKEN NØRRESUNDBY,98190025
ANICURA FAMILIEDYRLÆGERNE A/S,98381056
ANICURA GISTRUP DYREHOSPITAL APS,98323666
CMR ON-SITE RD,25321661
DYRLÆGE GORM HOLDT MADSEN,98257809
DYRLÆGE HENRIK BASTHOLM,98190025
DYRLÆGE HENRIK STRANGE,21625105
DYRLÆGE JENS YDE BLOM,98102411
DYRLÆGE LOUISE KVIST,22787279
DYRLÆGEHUSET HJALLERUP APS,73709131
FR INGE CASPER,98296602
HESTETANDPLEJER GLENN ESPENSEN,20169220
HORSE-BALANCE.DK,42700483
KATDOKTOR,72440266
KATTENS APS,20258707
KIROPRAKTIK DYRLÆGEN V/CAMILLA GREGERSEN,98867610
KONGERSLEV DYREKLINIK,61695736
MBJ V/MARIANNE BIRCH JAKOBSEN,96783100
NIBE 2-1-2019 APS,35112222
NORDJYLLANDS DYREADFÆRDSKLINIK/ FORLAGET N D A V/VIBEKE S REESE,98297260
RIKKE MARIE ANDERSEN,20766363
SKOVDALENS HESTEKLINIK V/KLAVS RØNN-LANDBO,98384288
SOLSIDENS DYREKLINIK APS,98192020
SØNDERGÅRD DYRLÆGE,20896709
SULSTED DYREKLINIK V/MOGENS ALLAN NIELSEN,98261110
VODSKOV DYREKLINIK V/THORSTEIN ARNASON,98254051
VOLSTED HOBBY V/KJELD DAHL WINTHER,42663305
MVAPERS A/S,40769990
PRODAMP - VAPE2GO,22444562
SMOKE-IT AALBORG,20699480
SMOKE-IT AALBORG STORCENTER,20699477
AM EJENDOMME A/S,98188800
BARRETT MUNCH STRAARUP OG HJORTLUND I/S,98186200
BERG ANDERSEN /KAJ BERG ANDERSEN,98124966
BOLIGONE MOGENS VINTHER,20335550
CASA OPTIMA APS,98122333
CNHN INVEST APS,50833433
COLLIERS INTERNATIONAL DANMARK A/S,70230098
DANCENTER HOU/HALS,98253788
DIN MÆGLER APS,72170004
DIN MÆGLER I/S,25320322
EDC ANKER NØRGAARD A/S,98167722
EDC DANEBO HALS APS,98258888
EDC DANEBO NIBE A/S,98352555
EDC ERHVERV POUL ERIK BECH,96314900
EDC ERHVERV POUL ERIK BECH AALBORG A/S,96314900
EDC NIKA APS,98242750
EJENDOMSMÆGLERAKTIESELSKABET POUL ERIK BECH,33301000
EJENDOMSMÆGLERAKTIESELSKABET THORKILD KRISTENSEN,96316000
EJENDOMSMÆGLERAKTIESELSKABET THORKILD KRISTENSEN BOLIG,96316000
EJENDOMSMÆGLERAKTIESELSKABET THORKILD KRISTENSEN ERHVERV,96316000
EJENDOMSMÆGLERFIRMAET JOHN FRANDSEN A/S,98101435
EJENDOMSMÆGLERNE HANSEN & THOFT,72100128
ERHVERV AALBORG V/KRISTIAN HØJSLETH,98169500
ERHVERVSSELSKABET AF 5/5 2009 APS,70211274
ESTATE ROLD & KOCH A/S,98181414
HALS EJENDOMSHANDEL APS,98750300
HOME AALBORG ØSTERBRO,98189900
HOME HALS V/ MARK FROST,96383800
HOME LEJLIGHEDSBUTIKKEN AALBORG,98167472
HOME NØRRESUNDBY,98173088
HOME VEJGAARD,96316060
JAN HAMMERSHØY,26790055
JOHNNIE AABO SØRENSEN,40606360
KEC BOLIG APS,98255300
KNUDSEN ØVAD EJENDOMME APS,40315518
LEIF SIMONSEN IVS,50441387
MÆGLERHUSET AALBORG,50929929
MÆGLERHUSET I/S,50929929
METROPOL ERHVERV I/S,72312000
NORDICALS AALBORG I/S,98134000
NYBOLIG PALLE ØRTOFT GUG,98149544
NYBOLIG PALLE ØRTOFT HALS,98252277
NYBOLIG PALLE ØRTOFT HASSERIS,98162300
NYBOLIG PALLE ØRTOFT LEJLIGHEDER I/S,96302500
NYBOLIG PALLE ØRTOFT NIBE,98165600
NYBOLIG PALLE ØRTOFT NØRRESUNDBY,98194466
NYBOLIG PALLE ØRTOFT VEJGAARD,98103322
NYBOLIG PALLE ØRTOFT VEJGAARD/GUG I/S,96302500
NYBOLIG V/BERG RISAGER,97923322
PANORAMA.DK APS,96321321
PJ ERHVERV IVS,30200540
POUL SKALBORG,98157086
REALMÆGLERNE AALBORG APS KVISTBORG & MOESGAARD,20163439
REALMÆGLERNE ALLAN KVISTBORG,71990980
REALMÆGLERNE BJARNE ANDERSEN,98163735
REALMÆGLERNE BRIAN HARBO,98149147
SAL2 AA APS,20647901
SELSKABET AF 31.10.2019 APS,29239912
SØREN HANSEN EJENDOMSSERVICE & KONSULENTVIRKSOMHED V/SØREN HANSEN,98208504
SUN-WORLD APS,98314325
TBR ESTATE APS,22289910
AALBORG EL-TEKNIK APS,71747448
ALED NORD APS,52309950
ALL SERVICE & TEKNIK,26839003
ANKJÆR-BEMANDING,20700201
APPPAY IVS,22342233
AUT EL-INSTALLATØR JENS MELGAARD,98156563
BAGGER & BRINK. STORVORDE EL-SERVICE,21283996
BDS EL-INSTALLATION,53639671
BJ SERVICE,23285423
BRIX & KAMP A/S,98127866
CBRE INTEGO A/S,99364000
CG EL A/S,96602010
CJ SERVICE,30360712
DANSK KABEL TV A/S REGION NORD,98144044
DATOSELSKABET AF 13. OKTOBER 2017 APS,98381021
DELPRO A/S,76322700
DESIDERIUSSEN,22742172
EL-INSTALLATØR SØREN BUUS BRINK,98333051
EL-INSTALLATØR TOMMY JOHANNESEN,98317477
EL-PROJEKT V/NIELS KALLESTRUP,98152272
EL-TECH AALBORG,42366000
EL:CON AALBORG A/S,72667000
EL:CON BYGNINGSAUTOMATIK AALBORG A/S,72220666
ELECTECH APS,31728669
ELECTRICAL SOLUTIONS APS,22447502
ELINSTALLATIONSFIRMAET KAJ L ANDERSEN HALS APS,98252482
ELTEL NETWORKS A/S ÅLBORG,88135000
ENERGYINVEST APS,98286707
ERIK FALS A/S,98149990
ERIK LYTZEN A/S,65998000
EUGEN LUCAS SERVICE V/TONNY EUGEN LUCAS,46926309
